created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Nov 30 17:13:35 +0000 2023;1730273882051907697;"Suami Hana Hanifah Lagi-lagi Mangkir, Sidang Cerai Kembali Ditunda: Proses perceraian selebgram Hana Hanifah kembali digelar di Pengadilan Negeri Bogor. Pada persidangan yang digelar hari Selasa (28/11) kemarin,… https://t.co/K2VQgNm9jS #HotNews Baca di https://t.co/QwXHoKTmc2 https://t.co/Off6oCfsCe";0;0;0;0;in;1674289887053512704;1730273882051907697;indigo_cumicumi;https://twitter.com/indigo_cumicumi/status/1730273882051907697
Thu Nov 30 16:52:08 +0000 2023;1730268487514493253;"CARA DAN SYARAT MENGAJUKAN GUGATAN PERCERAIAN KE PENGADILAN DAN BiSA DIWAKILKAN KEPADA PENGACARA | PENGACARA MEDAN - SUMATERA UTARA https://t.co/CxPYBXHaox";0;0;0;0;in;1717928395282251777;1730268487514493253;Pengacara0586;https://twitter.com/Pengacara0586/status/1730268487514493253
Thu Nov 30 16:33:09 +0000 2023;1730263708839100604;"sebenernya bambam ke indo mau menandatangani surat perceraian";0;3;0;0;in;965403044;1730263708839100604;beatellites;https://twitter.com/beatellites/status/1730263708839100604
Thu Nov 30 15:59:50 +0000 2023;1730255324341502369;"@convomfs Tp beneran harus dibilangin deh ke istrinya krn ini slot dampak jangka pjg bisa terlilit pinjol tanpa sepengetahuan keluarga. Dampaknya bisa ke perceraian kalau sampai bablas. Kalau masih awal2 ribut2 dikit gpp asal masih bisa terselamatkan";0;0;0;0;in;1610691388831830021;1730254492204146875;AkunApple1;https://twitter.com/AkunApple1/status/1730255324341502369
Thu Nov 30 15:41:42 +0000 2023;1730250760271925728;"386. Perencanaan perceraian. https://t.co/POZvhJd2Qb";0;1;1;32;in;1140999910499635200;1678440781688840198;stariksj;https://twitter.com/stariksj/status/1730250760271925728
Thu Nov 30 15:11:01 +0000 2023;1730243040885735835;"@apaajaadehw Tapi realitanya angka perceraian tinggi";0;1;0;0;in;1533179955193864192;1730238467970363414;chenlinh0;https://twitter.com/chenlinh0/status/1730243040885735835
Thu Nov 30 14:45:07 +0000 2023;1730236519854805383;"Ingin Pertahankan Rumah Tangga Ammar Zoni Tak Hadiri Sidang Cerai, Kuasa Hukum Pastikan Kondisinya Baik dan Fokus untuk Pertandingan: Sidang perceraian Ammar Zoni dan Irish Bella di Pengadailan Agama Depok, Jawa Barat kembali digelar, Kamis (30/11/2023)… https://t.co/8CE2aRxHRO";0;0;0;0;in;184706308;1730236519854805383;FIMELAdotcom;https://twitter.com/FIMELAdotcom/status/1730236519854805383
Thu Nov 30 14:33:05 +0000 2023;1730233492624101468;"@snny95 @eradotid Krn istri sahnya gak mau ceraikan si lakik, sementara kl pake pasal perzinahan itu proseduralnya pasti lanjut ke perceraian. Istri sah gak mau ceraikan  si lakik krn gak mau bagi gono gini sama lakiknya, krn ada modal dia juga di sana katanya sih gitu.";0;0;0;0;in;95138298;1729833282806661627;RizkiAChrysan;https://twitter.com/RizkiAChrysan/status/1730233492624101468
Thu Nov 30 14:30:26 +0000 2023;1730232825360642291;"To those yg kenal saya dan isteri, hari ni merupakan hari di mana kami telah selesaikan proses perceraian. Kami berpisah dengan cara baik dan kami okay antara satu sama lain. Terima kasih. https://t.co/QyqB8kpsBS";0;0;0;0;in;2352403836;1730232825360642291;AizatSyahril1;https://twitter.com/AizatSyahril1/status/1730232825360642291
Thu Nov 30 14:14:06 +0000 2023;1730228713336291546;"@cloudydeena Tenang ada duda pirang yang akan mengirus perceraian Hazi 😎";0;0;0;0;in;1562590363608485893;1728673854909034688;ytardhh9_;https://twitter.com/ytardhh9_/status/1730228713336291546
Thu Nov 30 13:56:28 +0000 2023;1730224279604662693;"10 Orang Dampingi Irish Bella Hadapi Sidang Perceraian https://t.co/wesa6MSiNb";0;0;0;0;in;1627711962049290240;1730224279604662693;meuseuraya_id;https://twitter.com/meuseuraya_id/status/1730224279604662693
Thu Nov 30 13:30:55 +0000 2023;1730217847756906544;"Ammar Zoni tidak hadir lagi pada sidang perceraian Kamis (30/11). https://t.co/hOo9aHq4n2";0;0;0;2;in;48890883;1730217847756906544;1nserttranstv;https://twitter.com/1nserttranstv/status/1730217847756906544
